# Constructed from biom file
#OTU ID	SRR12442322	SRR12442323	SRR12442324	SRR12442325	SRR12442331	SRR12442342	SRR12442353	SRR12442354	taxonomy
AJ535175.1.1805	4.0	3.0	1.0	136.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Diatomea; c__Coscinodiscophytina; o__Coscinodiscophytina; f__Rhizosolenids; g__Leptocylindrus; s__Leptocylindrus_danicus
FR874679.1.1789	0.0	17.0	8.0	0.0	15.0	0.0	7.0	84.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_I; g__Syndiniales_Group_I; s__uncultured_Syndiniales
KF130605.1.1762	13.0	10.0	0.0	29.0	103.0	0.0	0.0	6.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiales; f__Chrysochromulinaceae; g__Chrysochromulina; s__uncultured_eukaryote
KF130565.1.1758	45.0	66.0	0.0	0.0	0.0	1.0	33.0	40.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae
KU843872.1.1504	0.0	15.0	30.0	0.0	4.0	70.0	19.0	2.0	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Trebouxiophyceae; s__Picochlorum_maculatum
AY851300.1.1802	50.0	58.0	3.0	8.0	25.0	0.0	0.0	0.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiophyceae; f__Prymnesiophyceae; g__Phaeocystis; s__Phaeocystis_globosa
EU793380.1.1676	15.0	56.0	40.0	0.0	4.0	0.0	4.0	4.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_I; g__Syndiniales_Group_I; s__uncultured_Syndiniales
KJ763128.1.1798	5.0	91.0	4.0	0.0	0.0	18.0	8.0	6.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Peridiniales; f__Peridiniales; g__Heterocapsa
JF489974.1.1778	1.0	104.0	0.0	0.0	0.0	0.0	1.0	5.0	d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae; g__Chaetoceros; s__Chaetoceros_calcitrans
KX602084.1.1656	38.0	35.0	28.0	0.0	3.0	2.0	6.0	3.0	d__Eukaryota; p__MAST-4; c__MAST-4; o__MAST-4; f__MAST-4; g__MAST-4; s__uncultured_eukaryote
EF526901.1.1367	0.0	1.0	0.0	1.0	0.0	0.0	0.0	174.0	d__Eukaryota; p__Protosporangiida; c__Protosporangiidae; o__Protosporangiidae; f__Protosporangiidae; g__Protosporangium; s__uncultured_eukaryote
KJ759477.1.1802	143.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae
AF411273.1.1792	0.0	0.0	0.0	0.0	0.0	86.0	17.0	1.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Thecofilosea; f__Thecofilosea; g__uncultured; s__Cercozoa_sp.
KF129692.1.1759	9.0	11.0	19.0	3.0	46.0	2.0	3.0	19.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiales; f__Chrysochromulinaceae; g__Chrysochromulina; s__uncultured_eukaryote
AB948147.1.1764	1.0	0.0	9.0	0.0	0.0	12.0	12.0	128.0	d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae; g__Skeletonema; s__Skeletonema_menzellii
KF129865.1.1761	4.0	43.0	15.0	0.0	12.0	4.0	5.0	17.0	d__Eukaryota; p__Dinoflagellata
